ID|Name|Unicode Name|Artist|Creator|BPM|Difficulty|Preview Time|Duration
38|Ka|彁|LeaF|Eyenine|125|10.44|92173|02:20
39|Axium Crisis|Axium Crisis|ak+q|davidminh0111|130-170|14.28|51319|02:30
40|Cutter|Cutter|EmoCosine|arcpotato|160|14.28|157474|03:04
41|Nexta|Nexta|lapix|Midnaait|160|14.28|90443|02:11
42|Cyberia lyr3|Cyberia lyr3|Sewerslvt|Horiiizon|200|15.08|56801|03:38
43|Kick To The Sky|Kick To The Sky|Kobaryo|Faputa|147-294|15.64|135442|02:59
44|Chimera|キメラ|DECO*27 feat. 初音ミク|Jonarwhal|212|16.40|45341|02:44
45|POLKAMANIA|POLꞰAMAИIA|かめりあ feat. ななひら|Faputa|160|17.40|52110|02:01
46|Magical Sanctuary|Magical Sanctuary|Kobaryo|Raiden|167-333|17.60|180355|04:10
47|Blastix Riotz|Blastix Riotz|かめりあ as "Bang Riot"|Nwolf|256|19.20|91552|02:07
48|We Want To Run|We Want To Run|Frums|ikin5050|192-243|19.96|53528|04:13
49|Kumo No Kireme|Kumo No Kireme|Kobaryo feat. 紅燐｡|Sayaka-|256|20.16|30571|03:21
50|Night of Knights|ナイト・オブ・ナイツ|ビートまりお|Jerry|180-10000|20.84|76596|01:45
51|SPUTNIK3|SPUTNIK-3|II-L|Horiiizon|170|23.52|46523|02:53
52|Grievous Lady|Grievous Lady -nothing is but what is not-|Team Grimoire vs. Laur|Greenshell|80-210|29.04|221609|06:00
53|Invisible Frenzy Camellia Remix|Invisible Frenzy (Camellia's "593: Insanely Fluctuated" Remix)|Kobaryo|KawaiiBass|297-593|32.52|230967|05:00
54|Villain Virus|Villain Virus|Kobaryo [feat. かめりあ]|shinchikuhome|260|34.28|149144|04:28
