ID|Name|Unicode Name|Artist|Creator|BPM|Difficulty|Preview Time|Duration
0|Quiet Water|Quiet Water|toby fox|Axer|60|1.48|5918|00:32
1|Reincarnation|Μετενσάρκωση|Street|eiri-|120|2.52|8163|02:27
2|Yume Nikki|ゆめにっき|ききやま|Axer|60|2.52|0|01:00
3|Stay Alive|Stay Alive|エミリア (CV:高橋李依)|tasuke912|70-71|2.92|47196|01:30
4|Dango Daikazoku|だんご大家族 (TV Size)|茶太|Faputa|100|3.12|47706|01:30
5|Last Remote|ラストリモート|R3 Music Box|Axer|35-78|3.12|75|00:56
6|Harumachi Clover|春待ちクローバー|R3 Music Box|-GN Junior|65-96|3.16|840|00:51
7|Interlude teatime|Interlude - teatime|C.H.S|Hikki|100|3.64|2265|01:03
8|Altale|Altale|削除|Cynplytholowazy|83-90|3.72|93254|02:36
9|Apollo|Apollo|TJ.hangneil|Skull Kid|200-339|4.24|91564|02:37
10|Shelter|Shelter|Porter Robinson & Madeon|Tyistiana|100|4.28|19602|01:56
11|We Are|We Are (Cut Ver.)|ONE OK ROCK|Ryxliee|148|4.64|78305|02:09
12|Ciki Ciki Bam Bam|チキチキバンバン (TV Size)|QUEENDOM|Blackener|128|4.72|9608|01:30
13|Cranberry City|Cranberry City|lapix feat. Luschel|Genjuro|138|4.88|48605|02:08
14|The Office Main Theme|The Office (Main Theme) (TV Size)|The Office Band|Hivie|171-175|4.96|17050|00:34
15|Hana no Tou|花の塔 (TV Size)|さユり|Quibby|175|5.00|37811|01:29
16|Never Gonna Give You Up|Never Gonna Give You Up|Rick Astley|BlackBN|113|5.00|85872|03:35
17|Routing|Routing|かめりあ|MMzz|144|5.04|73311|02:00
18|The 89s Momentum|The 89's Momentum|MYUKKE.|HiroK|128|5.08|60884|02:17
19|PADORU PADORU|PADORU / PADORU|Turbo|R-18|190|5.16|11116|00:32
20|school|school|bill wurtz|Toofu|96|5.16|20161|00:49
21|THE BADDEST|THE BADDEST|K/DA feat. (G)I-DLE, Bea Miller, Wolftyla|eiri-|150|5.24|77809|02:42
22|God is a woman|God is a woman|Ariana Grande|h o n e y|130-145|5.28|137561|03:17
23|My Love|My Love|Kuma Oms|Idealism|128|5.32|51510|03:46
55|Can You Feel My Heart|Can You Feel My Heart (Cut Ver.)|Bring Me The Horizon|[-E S I A-]|128|5.36|15664|01:13
24|Kisetsu wa Tsugitsugi Shindeiku|季節は次々死んでいく (TV Size)|amazarashi|soirT|181|5.52|53274|01:31
25|Mikasa|Mikasa|Veil Of Maya|Capu|147-220|5.56|91789|3:10
26|Outbreak|Outbreak|Feint feat. MYLK|Yasuho|175|5.64|65551|01:52
27|Enemy|Enemy|Imagine Dragons x JID|tadahitotsu|77|5.84|105927|02:53
28|Vagrant|Vagrant (Cut Ver.)|Feint feat. Veela|Friggy-chan|175|5.84|67301|01:59
29|Unwelcome School|Unwelcome School|ミツキヨ|komasy|180|5.96|34895|02:03
30|VANGUARD2|VANGUARD-2|II-L|Faputa|170|5.96|92047|01:54
31|Mopemope|もぺもぺ|LeaF|Nifty|100-200|6.08|7149|01:50
32|sans|sans.|toby fox|meiqth|128|6.12|22482|00:50
33|United LAOS Remix|United (L.A.O.S Remix)|Our Stolen Theory|Phob|175|6.12|131938|05:24
34|The Last Page|The Last Page|ARForest|Teezel|195|6.52|98942|02:21
35|Calamity Fortune|Calamity Fortune|LeaF|DakeDekaane|200|6.84|102162|02:14
36|Home Depot TV Theme Song|Home Depot TV Theme Song|Rory Doggett|radar|120|7.44|14902|00:31
37|Among Us Trap Remix|Among Us Trap Remix (Among Drip Theme Song)|Leonz|Axer|94|7.6|30000|01:12
